scenario,station,timestamps,path_count_mean,path_count_p50,path_count_p95,path_count_max,doppler_abs_max_mean_hz,doppler_abs_max_p50_hz,doppler_abs_max_p95_hz,doppler_abs_max_peak_hz,los_ts_ratio
no_blockage,TX1,3391,1.838985549985255,1.0,5.0,6,9653.334520870721,9726.867118080092,9728.85283170664,9728.867119181774,0.5945148923621351
no_blockage,TX2,3391,2.4948392804482453,2.0,4.0,6,9671.643201752577,9727.2434369835,9728.712228742494,9728.947606592032,0.512238277794161
no_blockage,TX3,3391,10.764966086700088,4.0,32.0,32,9705.713999065098,9727.947277290225,9728.737158750959,9728.833362403197,0.4671188439988204
no_blockage,TX4,3391,2.3895606015924504,2.0,6.0,6,9645.320901080418,9726.598325643356,9728.923482229406,9728.945238823024,0.5821291654379239
no_blockage,TX5,3391,2.651135358301386,3.0,5.0,6,9642.901343358539,9727.116690472263,9728.620195636242,9728.952776612769,0.47685048658212914
with_train_blockage,TX1,3391,1.838985549985255,1.0,5.0,6,9653.334520870721,9726.867118080092,9728.85283170664,9728.867119181774,0.5945148923621351
with_train_blockage,TX2,3391,2.4948392804482453,2.0,4.0,6,9671.643201752577,9727.2434369835,9728.712228742494,9728.947606592032,0.512238277794161
with_train_blockage,TX3,3391,10.764966086700088,4.0,32.0,32,9705.713999065098,9727.947277290225,9728.737158750959,9728.833362403197,0.4671188439988204
with_train_blockage,TX4,3391,2.3895606015924504,2.0,6.0,6,9645.320901080418,9726.598325643356,9728.923482229406,9728.945238823024,0.5821291654379239
with_train_blockage,TX5,3391,2.651135358301386,3.0,5.0,6,9642.901343358539,9727.116690472263,9728.620195636242,9728.952776612769,0.47685048658212914
