timestamp_ns,path_id,delay_s,amplitude_real,amplitude_imag,phase_rad,aoa_theta_rad,aoa_phi_rad,aod_theta_rad,aod_phi_rad,doppler_hz,los_flag
0,0,1.1679114777507493e-06,2.271218136229436e-06,0.0,0.0,1.5542304515838623,-0.021782254800200462,1.587362289428711,3.1198105812072754,-9725.310233777609,1
0,1,1.1694527302097413e-06,1.7712401358949137e-06,7.327271234203181e-09,0.004136779247832604,1.6113102436065674,0.04175542667508125,1.6113108396530151,3.0998313426971436,-9712.496326792054,0
0,2,1.1706132454492035e-06,1.981520426852512e-06,-4.000575160034714e-08,-0.020186679263622335,1.6102890968322754,-0.06170129030942917,1.6102879047393799,3.0798823833465576,-9702.86775069494,0
10285714,0,1.164577156487212e-06,2.2777210233471124e-06,0.0,0.0,1.554183006286621,-0.02184464782476425,1.5874097347259521,3.119748115539551,-9725.289340004529,1
10285714,1,1.1661226153591997e-06,1.7750373899616534e-06,7.364395315789807e-09,0.004148843907838021,1.6114259958267212,0.04187493398785591,1.611426591873169,3.0997118949890137,-9712.402125863073,0
10285714,2,1.1672866548906313e-06,1.9865747162839398e-06,-4.0056587380377096e-08,-0.020160913022438404,1.6104016304016113,-0.06187763065099716,1.6104004383087158,3.0797059535980225,-9702.718688830073,0
20571429,0,1.1612428352236748e-06,2.2842607450002106e-06,0.0,0.0,1.5541352033615112,-0.021907400339841843,1.587457537651062,3.119685411453247,-9725.26825194512,1
20571429,1,1.1627927278823336e-06,1.778848172762082e-06,7.402262802713722e-09,0.004161243320413972,1.6115424633026123,0.04199512302875519,1.61154305934906,3.0995917320251465,-9712.307095120608,0
20571429,2,1.1639600643320591e-06,1.991654926314368e-06,-4.010780685348436e-08,-0.020135208122549198,1.6105148792266846,-0.062054991722106934,1.610513687133789,3.079528570175171,-9702.56831218135,0
30857143,0,1.1579085139601375e-06,2.290839120178134e-06,0.0,0.0,1.5540872812271118,-0.021970512345433235,1.5875054597854614,3.119622230529785,-9725.247007189904,1
30857143,1,1.1594627267186297e-06,1.7826764633355197e-06,7.440132065994476e-09,0.004173549727208262,1.6116595268249512,0.04211600124835968,1.611660122871399,3.099470853805542,-9712.211274051459,0
41142857,0,1.1545740790097625e-06,2.297454557265155e-06,0.0,0.0,1.5540390014648438,-0.022033993154764175,1.5875537395477295,3.119558811187744,-9725.22556405663,1
41142857,1,1.1561329529286013e-06,1.7865172594611067e-06,7.478350383394172e-09,0.004185969468998358,1.6117773056030273,0.04223757982254028,1.611777901649475,3.0993492603302,-9712.114606147903,0
51428571,0,1.1512397577462252e-06,2.304109102624352e-06,0.0,0.0,1.5539904832839966,-0.022097839042544365,1.5876022577285767,3.119494915008545,-9725.203941645403,1
51428571,1,1.1528030654517352e-06,1.7903762454807293e-06,7.516838707033457e-09,0.004198444075476075,1.6118956804275513,0.042359862476587296,1.6118963956832886,3.099226951599121,-9712.017132565243,0
61714286,0,1.1479053227958502e-06,2.310802074134699e-06,0.0,0.0,1.5539416074752808,-0.022162053734064102,1.5876511335372925,3.1194307804107666,-9725.182118594259,1
61714286,1,1.1494734053485445e-06,1.794249442355067e-06,7.555609471410207e-09,0.004210989081691247,1.612014889717102,0.042482856661081314,1.6120154857635498,3.0991039276123047,-9711.918750181392,0
72000000,0,1.144571001532313e-06,2.3175336991698714e-06,0.0,0.0,1.5538924932479858,-0.022226646542549133,1.5877002477645874,3.11936616897583,-9725.160111288587,1
72000000,1,1.1461434041848406e-06,1.7981399196287384e-06,7.59469998001805e-09,0.004223617270595629,1.6121346950531006,0.04260656237602234,1.6121352910995483,3.098980188369751,-9711.819549336467,0
82285714,0,1.1412366802687757e-06,2.324304887224571e-06,0.0,0.0,1.5538431406021118,-0.02229161560535431,1.5877496004104614,3.1193010807037354,-9725.137919078697,1
82285714,1,1.14281374408165e-06,1.8020433572019101e-06,7.634063159400739e-09,0.004236311774082486,1.6122552156448364,0.04273098707199097,1.6122558116912842,3.09885573387146,-9711.719474280066,0
